y,p_hat
0.0,0.366
0.0,0.079
0.0,0.023
0.0,0.234
0.0,0.043
1.0,0.963
1.0,0.673
0.0,0.139
1.0,0.673
1.0,0.795
0.0,0.013
0.0,0.079
0.0,0.043
0.0,0.013
1.0,0.963
0.0,0.007
1.0,0.933
1.0,0.522
0.0,0.522
0.0,0.079
0.0,0.079
0.0,0.043
0.0,0.673
1.0,0.933
1.0,0.234
1.0,0.88
1.0,0.98
1.0,0.963
0.0,0.079
1.0,0.963
1.0,0.795
1.0,0.989
0.0,0.043
1.0,0.366
1.0,0.795
0.0,0.673
0.0,0.366
1.0,0.963
1.0,0.933
0.0,0.139
0.0,0.023
1.0,0.795
0.0,0.004
1.0,0.963
1.0,0.366
1.0,0.673
0.0,0.139
0.0,0.007
0.0,0.139
0.0,0.366
0.0,0.079
0.0,0.079
0.0,0.234
1.0,0.795
1.0,0.673
0.0,0.234
0.0,0.139
0.0,0.522
1.0,0.933
1.0,0.994
1.0,0.795
1.0,0.522
1.0,0.522
0.0,0.139
0.0,0.079
0.0,0.522
0.0,0.366
1.0,0.234
1.0,0.88
1.0,0.963
1.0,0.673
0.0,0.079
0.0,0.366
1.0,0.88
0.0,0.139
0.0,0.004
1.0,0.963
0.0,0.139
0.0,0.366
0.0,0.079
1.0,0.673
1.0,0.522
0.0,0.795
0.0,0.007
0.0,0.043
0.0,0.004
0.0,0.139
0.0,0.522
1.0,0.795
1.0,0.673
0.0,0.043
1.0,0.933
0.0,0.139
0.0,0.139
0.0,0.079
0.0,0.673
0.0,0.023
0.0,0.079
0.0,0.522
0.0,0.234
0.0,0.234
0.0,0.043
0.0,0.004
0.0,0.139
0.0,0.007
0.0,0.139
0.0,0.673
0.0,0.795
0.0,0.234
0.0,0.043
1.0,0.88
0.0,0.234
0.0,0.043
0.0,0.139
1.0,0.994
1.0,0.933
1.0,0.366
0.0,0.234
1.0,0.234
0.0,0.234
0.0,0.88
1.0,0.795
0.0,0.366
1.0,0.88
1.0,0.88
0.0,0.013
1.0,0.933
1.0,0.522
0.0,0.522
0.0,0.007
0.0,0.234
0.0,0.013
0.0,0.013
0.0,0.139
1.0,0.522
1.0,0.88
0.0,0.234
1.0,0.933
0.0,0.043
0.0,0.522
0.0,1.0
0.0,0.079
1.0,0.989
0.0,0.139
1.0,0.933
0.0,0.795
1.0,0.989
0.0,0.007
0.0,0.004
1.0,0.139
0.0,0.88
1.0,0.139
0.0,0.366
0.0,0.043
0.0,0.043
0.0,0.007
0.0,0.522
0.0,0.366
0.0,0.013
0.0,0.043
0.0,0.366
0.0,0.079
1.0,0.795
0.0,0.139
1.0,0.795
0.0,0.023
0.0,0.366
1.0,0.88
0.0,0.366
0.0,0.002
0.0,0.366
1.0,0.673
0.0,0.366
0.0,0.366
0.0,0.88
1.0,0.673
0.0,0.234
0.0,0.079
0.0,0.043
0.0,0.234
0.0,0.043
0.0,0.043
0.0,0.004
0.0,0.079
0.0,0.795
0.0,0.013
0.0,0.522
1.0,0.673
1.0,0.795
1.0,0.234
0.0,0.079
1.0,0.234
1.0,0.673
1.0,0.139
1.0,0.795
1.0,0.079
0.0,0.139
0.0,0.522
1.0,0.933
1.0,0.234
1.0,0.366
0.0,0.139
0.0,0.234
0.0,0.079
0.0,0.522
0.0,0.023
1.0,0.673
1.0,0.522
1.0,0.963
1.0,0.522
1.0,0.933
1.0,0.522
0.0,0.023
0.0,0.023
1.0,0.963
1.0,0.933
0.0,0.079
0.0,0.023
0.0,0.366
1.0,0.88
0.0,0.139
0.0,0.023
0.0,0.043
1.0,0.522
0.0,0.234
0.0,0.079
0.0,0.023
0.0,0.013
0.0,0.023
1.0,0.795
0.0,0.234
1.0,0.88
0.0,0.079
0.0,0.079
1.0,0.795
0.0,0.673
0.0,0.079
0.0,0.023
0.0,0.366
0.0,0.522
0.0,0.139
1.0,0.963
1.0,0.139
0.0,0.139
1.0,0.88
1.0,0.933
0.0,0.234
1.0,0.522
0.0,0.079
0.0,0.139
0.0,0.007
0.0,0.004
0.0,0.043
0.0,0.234
1.0,0.673
0.0,0.234
0.0,0.023
0.0,0.023
0.0,0.079
1.0,0.795
0.0,0.013
0.0,0.023
0.0,0.013
0.0,0.023
0.0,0.079
0.0,0.522
1.0,0.366
0.0,0.079
1.0,0.139
1.0,0.933
1.0,0.673
0.0,0.673
0.0,0.079
0.0,0.043
1.0,0.522
0.0,0.139
0.0,0.98
0.0,0.139
0.0,0.139
0.0,0.013
0.0,0.079
0.0,0.002
0.0,0.007
0.0,0.234
0.0,0.043
0.0,0.023
0.0,0.043
0.0,0.522
1.0,0.522
1.0,0.522
0.0,0.673
0.0,0.043
0.0,0.043
1.0,0.795
0.0,0.007
0.0,0.139
0.0,0.234
0.0,0.139
0.0,0.043
0.0,0.079
0.0,0.522
0.0,0.043
0.0,0.023
0.0,0.079
0.0,0.007
0.0,0.043
0.0,0.043
0.0,0.139
0.0,0.043
0.0,0.023
0.0,0.043
0.0,0.522
0.0,0.079
0.0,0.001
0.0,0.023
0.0,0.234
0.0,0.043
0.0,0.043
0.0,0.007
1.0,0.366
1.0,0.88
0.0,0.043
0.0,0.079
0.0,0.234
0.0,0.139
0.0,0.043
0.0,0.366
0.0,0.043
0.0,0.139
0.0,0.023
1.0,0.673
0.0,0.139
0.0,0.234
1.0,0.88
1.0,0.795
0.0,0.366
1.0,0.366
0.0,0.139
0.0,0.673
1.0,0.989
0.0,0.139
1.0,0.139
0.0,0.366
1.0,0.366
1.0,0.079
1.0,0.994
0.0,0.139
0.0,0.043
0.0,0.079
1.0,0.673
0.0,0.043
0.0,0.366
0.0,0.139
1.0,0.043
0.0,0.023
0.0,0.023
1.0,0.88
1.0,0.673
0.0,0.522
1.0,0.795
1.0,0.795
1.0,0.963
1.0,0.933
0.0,0.234
1.0,0.795
1.0,0.88
0.0,0.522
0.0,0.079
1.0,0.963
0.0,0.079
0.0,0.043
1.0,0.522
1.0,0.673
1.0,0.522
0.0,0.234
1.0,0.234
1.0,0.933
0.0,0.079
0.0,0.043
0.0,0.079
0.0,0.234
1.0,0.139
0.0,0.522
1.0,0.989
0.0,0.234
1.0,0.234
0.0,0.079
1.0,0.673
1.0,0.366
0.0,0.043
1.0,0.139
0.0,0.043
0.0,0.139
1.0,0.88
1.0,0.795
0.0,0.522
0.0,0.139
1.0,0.963
1.0,0.98
1.0,0.963
1.0,0.963
1.0,0.963
1.0,0.933
1.0,0.933
0.0,0.139
1.0,0.963
0.0,0.043
0.0,0.139
0.0,0.023
1.0,0.88
0.0,0.366
0.0,0.366
1.0,0.963
0.0,0.043
1.0,0.795
0.0,0.007
1.0,0.673
0.0,0.139
1.0,0.795
1.0,0.933
1.0,0.88
0.0,0.043
1.0,0.98
0.0,0.673
0.0,0.234
0.0,0.139
0.0,0.007
0.0,0.366
0.0,0.139
0.0,0.023
0.0,0.013
0.0,0.079
0.0,0.366
0.0,0.673
0.0,0.023
0.0,0.001
1.0,0.234
1.0,0.673
0.0,0.001
0.0,0.795
0.0,0.673
0.0,0.366
1.0,0.795
0.0,0.004
1.0,0.88
0.0,0.043
0.0,0.043
0.0,0.673
0.0,0.88
0.0,0.88
0.0,0.079
1.0,0.079
0.0,0.004
0.0,0.079
0.0,0.234
0.0,0.522
1.0,0.963
1.0,0.88
0.0,0.043
0.0,0.139
1.0,0.079
1.0,0.023
0.0,0.366
0.0,0.366
0.0,0.234
0.0,0.522
1.0,0.522
1.0,0.366
0.0,0.522
0.0,0.795
0.0,0.013
0.0,0.234
1.0,0.88
1.0,0.963
1.0,0.673
1.0,0.933
0.0,0.522
0.0,0.043
0.0,0.079
0.0,0.013
1.0,0.795
1.0,0.139
0.0,0.043
0.0,0.234
1.0,0.88
0.0,0.023
1.0,0.795
1.0,0.795
1.0,0.522
1.0,0.522
1.0,0.933
0.0,0.366
1.0,0.673
0.0,0.795
0.0,0.366
0.0,0.043
0.0,0.004
1.0,0.88
0.0,0.139
0.0,0.079
0.0,0.522
0.0,0.004
0.0,0.673
1.0,0.795
0.0,0.234
0.0,0.023
1.0,0.88
0.0,0.079
0.0,0.673
1.0,0.673
0.0,0.366
1.0,0.673
0.0,0.234
1.0,0.98
0.0,0.043
0.0,0.366
0.0,0.043
1.0,0.673
0.0,0.366
1.0,0.795
0.0,0.013
0.0,0.023
0.0,0.234
1.0,0.88
0.0,0.139
1.0,0.522
1.0,0.079
1.0,0.366
0.0,0.139
1.0,0.933
0.0,0.139
0.0,0.001
1.0,0.673
0.0,0.013
0.0,0.366
1.0,0.98
1.0,0.989
1.0,0.795
0.0,0.079
0.0,0.043
0.0,0.673
1.0,0.963
0.0,0.023
0.0,0.673
0.0,0.522
1.0,0.795
0.0,0.043
0.0,0.139
1.0,0.98
1.0,0.366
1.0,0.963
0.0,0.366
0.0,0.079
0.0,0.234
0.0,0.079
0.0,0.522
0.0,0.989
0.0,0.079
0.0,0.023
0.0,0.043
0.0,0.522
0.0,0.673
0.0,0.079
1.0,0.522
1.0,0.963
0.0,0.043
0.0,0.013
1.0,0.994
0.0,0.366
0.0,0.366
1.0,0.366
1.0,0.795
0.0,0.023
1.0,0.795
0.0,0.079
0.0,0.043
0.0,0.522
0.0,0.043
0.0,0.366
0.0,0.079
0.0,0.079
0.0,0.013
0.0,0.88
0.0,0.795
0.0,0.234
1.0,0.88
1.0,0.522
0.0,0.013
0.0,0.139
1.0,0.88
1.0,0.994
1.0,0.673
0.0,0.366
0.0,0.139
0.0,0.234
0.0,0.023
0.0,0.234
0.0,0.023
0.0,0.366
0.0,0.004
0.0,0.079
0.0,0.007
0.0,0.043
0.0,0.079
0.0,0.043
0.0,0.001
0.0,0.139
0.0,0.234
0.0,0.043
0.0,0.079
1.0,0.673
0.0,0.522
1.0,0.795
1.0,0.673
1.0,0.522
0.0,0.079
1.0,0.963
0.0,0.079
0.0,0.522
0.0,0.139
0.0,0.023
0.0,0.139
0.0,0.366
1.0,0.366
1.0,0.795
1.0,0.139
0.0,0.043
0.0,0.139
0.0,0.079
1.0,0.963
1.0,0.963
1.0,0.994
1.0,0.933
0.0,0.139
1.0,0.079
1.0,0.88
0.0,0.007
0.0,0.139
1.0,0.234
0.0,0.079
0.0,0.366
0.0,0.079
0.0,0.366
0.0,0.366
0.0,0.366
0.0,0.139
1.0,0.139
1.0,0.963
1.0,0.933
1.0,0.933
1.0,0.795
1.0,0.522
1.0,0.88
1.0,0.88
1.0,0.963
1.0,0.673
1.0,0.234
0.0,0.004
0.0,0.234
0.0,0.079
0.0,0.139
0.0,0.139
0.0,0.043
1.0,0.522
0.0,0.023
0.0,0.079
1.0,0.795
1.0,0.933
0.0,0.043
1.0,0.522
1.0,0.673
1.0,0.522
1.0,0.673
1.0,0.933
0.0,0.007
1.0,0.673
0.0,0.234
0.0,0.043
0.0,0.079
1.0,0.963
0.0,0.004
0.0,0.522
0.0,0.023
1.0,0.88
1.0,0.963
0.0,0.043
1.0,0.933
1.0,0.963
0.0,0.023
0.0,0.366
0.0,0.234
0.0,0.366
1.0,0.234
1.0,0.522
0.0,0.023
0.0,0.234
0.0,0.023
0.0,0.079
1.0,0.933
0.0,0.079
0.0,0.139
0.0,0.139
0.0,0.079
1.0,0.366
0.0,0.522
1.0,0.88
0.0,0.366
0.0,0.522
0.0,0.043
0.0,0.079
1.0,0.795
1.0,0.673
1.0,0.795
1.0,0.994
1.0,0.673
0.0,0.139
0.0,0.079
1.0,0.673
0.0,0.673
1.0,0.234
0.0,0.139
0.0,0.673
0.0,0.234
0.0,0.366
0.0,0.366
0.0,0.366
1.0,0.673
1.0,0.522
0.0,0.366
1.0,0.795
0.0,0.023
1.0,0.98
0.0,0.522
1.0,0.98
1.0,0.963
1.0,0.933
0.0,0.234
0.0,0.522
1.0,0.795
0.0,0.043
1.0,0.366
0.0,0.234
1.0,0.88
0.0,0.013
0.0,0.023
1.0,0.673
1.0,0.88
1.0,0.522
1.0,0.88
0.0,0.989
1.0,0.673
0.0,0.522
0.0,0.522
0.0,0.043
1.0,0.795
0.0,0.522
0.0,0.043
0.0,0.234
0.0,0.043
1.0,0.933
0.0,0.673
1.0,0.673
1.0,0.522
0.0,0.139
0.0,0.88
0.0,0.234
1.0,0.88
1.0,0.88
1.0,0.933
0.0,0.079
0.0,0.366
0.0,0.673
0.0,0.366
0.0,0.522
1.0,0.366
1.0,0.139
0.0,0.366
0.0,0.234
1.0,0.795
0.0,0.043
0.0,0.795
0.0,0.366
0.0,0.366
0.0,0.013
0.0,0.004
1.0,0.963
1.0,0.88
1.0,0.673
1.0,0.522
0.0,0.139
1.0,0.88
1.0,0.139
1.0,0.522
1.0,0.933
1.0,0.88
0.0,0.522
0.0,0.139
0.0,0.795
0.0,0.139
1.0,0.522
1.0,0.366
1.0,0.795
0.0,0.043
0.0,0.88
0.0,0.234
0.0,0.366
1.0,0.673
1.0,0.963
1.0,0.933
1.0,0.933
1.0,0.88
1.0,0.366
1.0,0.963
1.0,0.522
0.0,0.522
1.0,0.673
0.0,0.023
1.0,0.366
0.0,0.366
0.0,0.139
0.0,0.013
1.0,0.673
0.0,0.139
1.0,0.933
1.0,0.963
1.0,0.673
1.0,0.522
0.0,0.139
0.0,0.673
1.0,0.88
0.0,0.004
0.0,0.673
0.0,0.079
0.0,0.043
0.0,0.007
0.0,0.522
1.0,0.963
1.0,0.795
1.0,0.795
0.0,0.234
1.0,0.366
1.0,0.933
1.0,0.963
0.0,0.522
0.0,0.079
1.0,0.963
0.0,0.139
1.0,0.963
0.0,0.139
0.0,0.079
0.0,0.234
0.0,0.043
0.0,0.522
0.0,0.043
1.0,0.673
1.0,0.522
1.0,0.933
1.0,0.522
0.0,0.007
0.0,0.933
0.0,0.023
0.0,0.043
0.0,0.043
1.0,0.522
0.0,0.139
0.0,0.043
0.0,0.079
0.0,0.139
0.0,0.079
0.0,0.043
0.0,0.234
0.0,0.079
0.0,0.043
0.0,0.079
0.0,0.234
0.0,0.079
1.0,0.963
0.0,0.007
0.0,0.673
1.0,0.963
0.0,0.043
0.0,0.013
1.0,0.366
0.0,0.079
0.0,0.522
1.0,0.989
0.0,0.013
1.0,0.673
1.0,0.673
0.0,0.007
1.0,0.963
0.0,0.139
0.0,0.0
0.0,0.079
0.0,0.023
0.0,0.043
0.0,0.023
0.0,0.673
0.0,0.673
0.0,0.043
0.0,0.139
0.0,0.673
0.0,0.139
0.0,0.079
0.0,0.079
1.0,0.98
1.0,0.522
0.0,0.079
1.0,0.88
0.0,0.079
0.0,0.079
0.0,0.139
0.0,0.079
1.0,0.88
1.0,0.079
0.0,0.139
1.0,0.963
1.0,0.88
1.0,0.963
0.0,0.522
0.0,0.234
1.0,0.795
0.0,0.023
0.0,0.043
0.0,0.522
0.0,0.366
0.0,0.139
1.0,0.795
0.0,0.366
0.0,0.366
1.0,0.88
0.0,0.079
0.0,0.139
0.0,0.673
0.0,0.234
0.0,0.234
0.0,0.366
0.0,0.079
1.0,0.933
1.0,0.795
0.0,0.079
1.0,0.98
0.0,0.673
1.0,0.234
0.0,0.139
0.0,0.234
1.0,0.673
1.0,0.933
0.0,0.004
1.0,0.139
1.0,0.522
0.0,0.366
1.0,0.963
1.0,0.963
1.0,0.366
1.0,0.933
0.0,0.366
1.0,0.963
0.0,0.522
0.0,0.043
0.0,0.366
1.0,0.88
1.0,0.139
1.0,0.522
1.0,0.522
1.0,0.933
1.0,0.88
0.0,0.023
1.0,0.795
0.0,0.673
1.0,0.673
1.0,0.366
1.0,0.963
1.0,0.522
0.0,0.079
1.0,0.933
0.0,0.139
0.0,0.139
1.0,0.98
1.0,0.366
1.0,0.98
1.0,0.963
0.0,0.007
0.0,0.234
1.0,0.673
1.0,0.88
1.0,0.963
1.0,0.933
1.0,0.366
0.0,0.234
0.0,0.043
0.0,0.079
1.0,0.88
0.0,0.079
0.0,0.522
1.0,0.795
0.0,0.007
1.0,0.522
1.0,0.043
1.0,0.522
0.0,0.043
0.0,0.079
0.0,0.366
0.0,0.139
0.0,0.023
0.0,0.043
1.0,0.366
0.0,0.043
0.0,0.795
1.0,0.88
1.0,0.673
1.0,0.366
0.0,0.139
0.0,0.522
0.0,0.366
0.0,0.043
0.0,0.043
0.0,0.522
1.0,0.933
0.0,0.043
0.0,0.007
0.0,0.007
0.0,0.522
0.0,0.001
0.0,0.139
0.0,0.139
1.0,0.079
0.0,0.043
1.0,0.139
0.0,0.023
0.0,0.013
0.0,0.139
1.0,0.234
0.0,0.795
1.0,0.366
0.0,0.079
1.0,0.234
0.0,0.079
0.0,0.234
0.0,0.139
0.0,0.043
0.0,0.234
0.0,0.139
0.0,0.023
1.0,0.234
1.0,0.795
0.0,0.043
0.0,0.139
1.0,0.079
0.0,0.673
1.0,0.795
0.0,0.795
0.0,0.013
0.0,0.673
0.0,0.139
1.0,0.88
0.0,0.043
1.0,0.989
1.0,0.795
0.0,0.234
1.0,0.673
0.0,0.673
0.0,0.043
1.0,0.989
0.0,0.366
0.0,0.234
0.0,0.366
0.0,0.366
0.0,0.234
0.0,0.043
0.0,0.88
0.0,0.043
0.0,0.673
0.0,0.043
0.0,0.673
0.0,0.023
0.0,0.007
0.0,0.007
0.0,0.139
1.0,0.234
1.0,0.366
1.0,0.795
1.0,0.795
1.0,0.88
1.0,0.366
1.0,0.963
0.0,0.139
0.0,0.234
0.0,0.043
0.0,0.023
0.0,0.002
0.0,0.139
0.0,0.043
0.0,0.366
0.0,0.139
0.0,0.234
0.0,0.079
1.0,0.963
1.0,0.673
1.0,0.522
0.0,0.023
1.0,0.98
0.0,0.079
0.0,0.234
1.0,0.963
0.0,0.079
0.0,0.043
0.0,0.522
0.0,0.023
1.0,0.673
0.0,0.234
1.0,0.933
0.0,0.234
0.0,0.673
0.0,0.139
1.0,0.933
0.0,0.079
0.0,0.139
0.0,0.139
1.0,0.366
0.0,0.007
0.0,0.023
0.0,0.079
1.0,0.795
0.0,0.043
0.0,0.234
0.0,0.007
1.0,0.933
0.0,0.043
1.0,0.963
1.0,0.522
0.0,0.043
0.0,0.139
0.0,0.522
0.0,0.043
0.0,0.366
0.0,0.079
0.0,0.795
1.0,0.673
0.0,0.043
0.0,0.043
0.0,0.366
1.0,0.139
1.0,0.88
0.0,0.013
0.0,0.023
0.0,0.079
0.0,0.004
0.0,0.079
1.0,0.522
0.0,0.139
1.0,0.522
0.0,0.043
0.0,0.023
0.0,0.366
1.0,0.673
0.0,0.079
1.0,0.795
1.0,0.963
0.0,0.522
1.0,0.98
1.0,0.933
1.0,0.989
1.0,0.88
0.0,0.023
1.0,0.963
0.0,0.673
0.0,0.366
0.0,0.88
0.0,0.139
0.0,0.013
0.0,0.522
0.0,0.043
0.0,0.366
0.0,0.234
1.0,0.795
0.0,0.043
0.0,0.079
1.0,0.366
0.0,0.013
0.0,0.139
0.0,0.023
0.0,0.234
1.0,0.98
0.0,0.139
1.0,0.88
0.0,0.043
0.0,0.673
0.0,0.043
0.0,0.139
0.0,0.234
1.0,0.88
0.0,0.366
0.0,0.043
0.0,0.139
0.0,0.079
1.0,0.88
1.0,0.963
1.0,0.795
0.0,0.139
1.0,0.366
0.0,0.079
1.0,0.933
0.0,0.023
0.0,0.139
1.0,0.673
0.0,0.522
0.0,0.234
0.0,0.079
0.0,0.88
0.0,0.139
0.0,0.043
0.0,0.013
0.0,0.023
0.0,0.522
0.0,0.004
0.0,0.023
1.0,0.673
1.0,0.88
1.0,0.522
1.0,0.88
0.0,0.043
0.0,0.234
1.0,0.98
0.0,0.007
0.0,0.234
0.0,0.043
0.0,0.023
1.0,0.795
0.0,0.139
1.0,0.522
0.0,0.795
0.0,0.234
1.0,0.079
1.0,0.234
0.0,0.013
1.0,0.88
0.0,0.023
0.0,0.043
1.0,0.673
0.0,0.007
1.0,0.673
0.0,0.234
0.0,0.522
0.0,0.043
0.0,0.139
0.0,0.023
1.0,0.795
0.0,0.366
0.0,0.366
1.0,0.673
0.0,0.88
1.0,0.795
1.0,0.795
1.0,0.963
1.0,0.522
1.0,0.989
0.0,0.366
1.0,0.795
0.0,0.023
1.0,0.963
1.0,0.795
0.0,0.079
0.0,0.079
1.0,0.673
1.0,0.366
1.0,0.963
0.0,0.795
0.0,0.139
0.0,0.366
0.0,0.234
0.0,0.139
0.0,0.023
0.0,0.004
0.0,0.139
0.0,0.234
1.0,0.88
1.0,0.88
1.0,0.933
0.0,0.673
1.0,0.043
1.0,0.88
1.0,0.366
1.0,0.522
1.0,0.933
0.0,0.234
1.0,0.88
1.0,0.88
1.0,0.366
1.0,0.673
1.0,0.522
1.0,0.98
1.0,0.88
1.0,0.88
1.0,0.673
1.0,0.98
0.0,0.043
1.0,0.88
0.0,0.079
1.0,0.98
1.0,0.234
1.0,0.795
0.0,0.007
1.0,0.795
1.0,0.522
0.0,0.366
1.0,0.673
1.0,0.933
1.0,0.98
1.0,0.88
1.0,0.079
1.0,0.234
1.0,0.366
1.0,0.795
1.0,0.795
1.0,0.795
0.0,0.023
1.0,0.795
0.0,0.023
0.0,0.366
0.0,0.522
0.0,0.079
0.0,0.234
0.0,0.079
0.0,0.673
1.0,0.994
1.0,0.673
1.0,0.98
1.0,0.933
0.0,0.043
1.0,0.366
1.0,0.98
0.0,0.366
1.0,0.795
1.0,0.522
0.0,0.139
1.0,0.963
1.0,0.673
0.0,0.079
1.0,0.522
1.0,0.933
0.0,0.043
1.0,0.933
0.0,0.234
1.0,0.963
0.0,0.043
0.0,0.013
0.0,0.013
0.0,0.013
1.0,0.366
0.0,0.366
1.0,0.673
0.0,0.366
0.0,0.139
0.0,0.234
0.0,0.139
0.0,0.079
0.0,0.079
0.0,0.795
1.0,0.933
0.0,0.88
0.0,0.002
1.0,0.522
0.0,0.522
1.0,0.366
0.0,0.234
1.0,0.522
0.0,0.139
0.0,0.043
0.0,0.795
1.0,0.139
1.0,0.989
0.0,0.043
0.0,0.139
1.0,0.795
1.0,0.88
0.0,0.366
0.0,0.013
0.0,0.139
0.0,0.366
1.0,0.795
1.0,0.234
1.0,0.88
1.0,0.366
1.0,0.933
0.0,0.079
0.0,0.234
0.0,0.234
0.0,0.139
1.0,0.522
1.0,0.88
0.0,0.043
1.0,0.933
0.0,0.043
1.0,0.989
0.0,0.139
0.0,0.366
0.0,0.673
0.0,0.079
1.0,0.673
1.0,0.963
1.0,0.88
1.0,0.989
1.0,0.88
1.0,0.795
1.0,0.88
0.0,0.007
1.0,0.88
0.0,0.043
1.0,0.234
0.0,0.139
0.0,0.043
0.0,0.004
0.0,0.795
0.0,0.88
0.0,0.043
0.0,0.023
1.0,0.994
0.0,0.234
1.0,0.795
0.0,0.139
0.0,0.366
1.0,0.933
1.0,0.88
1.0,0.795
1.0,0.98
0.0,0.366
0.0,0.234
0.0,0.043
1.0,0.933
1.0,0.673
1.0,0.234
0.0,0.043
0.0,0.234
0.0,0.234
0.0,0.043
0.0,0.079
0.0,0.522
0.0,0.004
1.0,0.963
1.0,0.933
1.0,0.963
0.0,0.043
1.0,0.963
1.0,0.88
0.0,0.795
0.0,0.139
0.0,0.139
0.0,0.013
0.0,0.139
0.0,0.007
0.0,0.234
0.0,0.139
0.0,0.007
1.0,0.234
0.0,0.043
1.0,0.139
0.0,0.522
0.0,0.522
0.0,0.079
1.0,0.933
1.0,0.366
1.0,0.963
1.0,0.795
1.0,0.013
1.0,0.989
0.0,0.673
1.0,0.673
0.0,0.007
0.0,0.079
1.0,0.963
1.0,0.88
1.0,0.795
1.0,0.522
1.0,0.366
1.0,0.366
1.0,0.673
0.0,0.234
0.0,0.013
0.0,0.234
0.0,0.88
1.0,0.933
1.0,0.079
0.0,0.079
1.0,0.88
0.0,0.043
1.0,0.88
1.0,0.933
1.0,0.522
1.0,0.522
1.0,0.522
1.0,0.522
0.0,0.007
0.0,0.366
0.0,0.013
1.0,0.98
1.0,0.98
0.0,0.366
1.0,0.963
0.0,0.079
1.0,0.963
1.0,0.933
0.0,0.079
0.0,0.139
1.0,0.366
1.0,0.795
0.0,0.007
0.0,0.139
1.0,0.88
0.0,0.139
0.0,0.043
0.0,0.139
0.0,0.023
0.0,0.139
0.0,0.023
0.0,0.795
0.0,0.366
0.0,0.139
0.0,0.004
1.0,0.795
1.0,0.88
0.0,0.139
1.0,0.795
0.0,0.234
1.0,0.234
0.0,0.234
1.0,0.522
0.0,0.043
1.0,0.989
0.0,0.013
0.0,0.079
0.0,0.234
0.0,0.673
1.0,0.795
0.0,0.043
0.0,0.139
0.0,0.366
0.0,0.002
0.0,0.139
0.0,0.366
1.0,0.522
0.0,0.366
0.0,0.139
1.0,0.795
1.0,0.043
1.0,0.139
1.0,0.963
0.0,0.139
0.0,0.366
0.0,0.023
0.0,0.139
0.0,0.88
0.0,0.366
1.0,0.963
0.0,0.139
1.0,0.88
0.0,0.023
0.0,0.522
0.0,0.234
1.0,0.98
0.0,0.043
1.0,0.933
0.0,0.234
1.0,0.522
1.0,0.989
1.0,0.795
0.0,0.234
0.0,0.234
1.0,0.795
0.0,0.013
1.0,0.139
1.0,0.139
0.0,0.366
0.0,0.139
0.0,0.079
0.0,0.043
0.0,0.522
1.0,0.522
1.0,0.963
1.0,0.673
0.0,0.079
1.0,0.522
0.0,0.079
1.0,0.234
0.0,0.139
1.0,0.795
1.0,0.963
0.0,0.043
1.0,0.88
1.0,0.933
1.0,0.673
1.0,0.989
1.0,0.795
1.0,0.98
1.0,0.989
0.0,0.013
0.0,0.234
1.0,0.933
0.0,0.043
1.0,0.88
0.0,0.234
1.0,0.673
1.0,0.963
1.0,0.933
1.0,0.933
1.0,0.88
1.0,0.98
1.0,0.933
0.0,0.023
1.0,0.933
0.0,0.673
0.0,0.004
1.0,0.963
1.0,0.795
1.0,0.98
0.0,0.234
0.0,0.366
1.0,0.933
1.0,0.043
1.0,0.522
1.0,0.795
1.0,0.673
0.0,0.043
1.0,0.933
0.0,0.043
0.0,0.007
0.0,0.139
0.0,0.234
1.0,0.98
1.0,0.673
1.0,0.989
1.0,0.522
1.0,0.98
0.0,0.023
0.0,0.079
0.0,0.139
0.0,0.522
0.0,0.673
1.0,0.795
1.0,0.933
1.0,0.522
0.0,0.001
1.0,0.795
0.0,0.007
1.0,0.989
0.0,0.079
0.0,0.88
0.0,0.043
0.0,0.139
0.0,0.007
0.0,0.366
0.0,0.366
0.0,0.079
0.0,0.933
1.0,0.933
1.0,0.963
0.0,0.234
1.0,0.366
1.0,0.795
1.0,0.933
1.0,0.795
1.0,0.139
0.0,0.079
0.0,0.079
0.0,0.234
0.0,0.013
0.0,0.139
0.0,0.366
0.0,0.366
1.0,0.88
1.0,0.98
0.0,0.007
0.0,0.88
0.0,0.043
0.0,0.522
0.0,0.366
1.0,0.522
1.0,0.933
0.0,0.522
1.0,0.673
0.0,0.079
0.0,0.673
0.0,0.023
0.0,0.023
0.0,0.023
0.0,0.673
1.0,0.88
0.0,0.043
0.0,0.234
1.0,0.795
0.0,0.023
1.0,0.963
0.0,0.522
0.0,0.933
0.0,0.079
0.0,0.139
0.0,0.023
1.0,0.933
0.0,0.043
0.0,0.002
0.0,0.366
1.0,0.98
0.0,0.522
0.0,0.366
0.0,0.366
0.0,0.234
1.0,0.88
1.0,0.522
1.0,0.933
1.0,0.795
0.0,0.88
0.0,0.673
1.0,0.88
0.0,0.079
0.0,0.043
0.0,0.234
0.0,0.234
0.0,0.139
0.0,0.673
0.0,0.673
0.0,0.043
0.0,0.366
1.0,0.673
1.0,0.234
1.0,0.88
1.0,0.366
0.0,0.004
1.0,0.673
0.0,0.023
0.0,0.013
1.0,0.88
0.0,0.139
0.0,0.234
1.0,0.234
1.0,0.88
0.0,0.043
1.0,0.234
1.0,0.88
1.0,0.963
0.0,0.007
1.0,0.963
0.0,0.013
0.0,0.079
0.0,0.366
0.0,0.933
0.0,0.366
0.0,0.139
0.0,0.234
0.0,0.139
